,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1310276985168457,1.0531799793243408,0.9998761431638089,-133.1347142120842,-46873.12716604552,0.9998612117314403,-216.50202577815645,knn
1,0.1311964988708496,0.97847580909729,0.9998313110426257,-164.1995785862571,-59487.67953338363,0.9998195461522412,-243.90096255116262,knn
2,0.11294341087341309,0.8194286823272705,0.9987492480508301,-367.2628142195285,-454711.9381433224,0.9986791787605203,-674.3233187005492,knn
3,0.11725950241088867,1.1755084991455078,0.9995550839856071,-228.26658673513484,-152063.07275905614,0.9995384914578285,-389.952654509565,knn
4,0.06482386589050293,0.7015948295593262,0.6632858375626269,-3927.4409038181566,-137136905.90432104,0.6228416378441388,-11710.546780757979,knn
0,0.009980201721191406,0.0025959014892578125,0.9996652018707702,-253.4424126346979,-113108.26771449918,0.9996650938056624,-336.31572623726527,rr
1,0.013023614883422852,0.0025787353515625,0.9996761311012152,-256.7784154933441,-113174.58453994466,0.9996566887562446,-336.41430489791105,rr
2,0.015315771102905273,0.0026068687438964844,0.9991390416320645,-459.13847134536815,-298034.8937831153,0.9991342852808699,-545.9257218551946,rr
3,0.013077259063720703,0.0026154518127441406,0.9995503385606324,-289.71009348575916,-152021.1908310453,0.9995386185686858,-389.8989495126209,rr
4,0.013027667999267578,0.002604246139526367,0.6774400087996573,-3734.7431245667767,-130631309.4158127,0.6407335401024894,-11429.405470793863,rr
0,12.15920114517212,6.927834510803223,0.999980720211539,-59.15067400366832,-6517.478780907836,0.9999807021709438,-80.73090350607899,svr
1,12.080338954925537,6.761576414108276,0.9999736741316021,-68.43852758293144,-8686.327253002142,0.9999736503224198,-93.20046809432957,svr
2,12.467707395553589,6.780205249786377,0.9998857381190606,-151.31438550981997,-40710.03689983087,0.9998817478124351,-201.76728401758018,svr
3,13.097855806350708,7.421856164932251,0.9999708553145791,-72.72050393121162,-10565.292867324622,0.9999679345365029,-102.78761047579918,svr
4,13.299561500549316,6.733548879623413,0.7292358298276871,-3498.6262723277105,-108461424.60366501,0.7017058756659554,-10414.481485108368,svr
