,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.1375875473022461,0.9646003246307373,1.0,-4.191301248354384e-12,-4.276430730224939e-23,1.0,-6.539442430532545e-12,knn
1,0.13750505447387695,0.9496886730194092,1.0,-4.11388260426175e-12,-4.0398532689890105e-23,1.0,-6.355984006421831e-12,knn
2,0.13717889785766602,1.1433908939361572,1.0,-3.995545998126162e-12,-3.7714318915336315e-23,1.0,-6.1411984917714816e-12,knn
3,0.1372818946838379,1.4010369777679443,1.0,-4.059712802238976e-12,-4.023730436241779e-23,1.0,-6.343288134904309e-12,knn
4,0.020513534545898438,0.31369853019714355,0.6885692699121615,-3567.774936061384,-125511253.19693094,0.6548148846167565,-11203.18049470466,knn
0,0.01113128662109375,0.002081155776977539,0.9999665462228868,-101.22313580063239,-13677.086577853801,0.9999595030398045,-116.94907685763835,rr
1,0.009773015975952148,0.0020546913146972656,0.9999661710120631,-106.030230012347,-14657.006431944515,0.9999555384706881,-121.06612421294619,rr
2,0.011569976806640625,0.002070188522338867,0.999959285024135,-100.27871252822546,-14108.51125140273,0.9999590184031799,-118.7792542972161,rr
3,0.009568452835083008,0.002063751220703125,0.9999732970751,-89.28838792787163,-11771.998049479143,0.9999642722091584,-108.49883893147955,rr
4,0.009806394577026367,0.0020461082458496094,0.6832801074865607,-3600.585280794882,-127569676.99029464,0.6491537408027832,-11294.674718215423,rr
0,16.644269943237305,6.605394124984741,0.9999973812238041,-22.79446897152998,-889.5520655245531,0.9999973660944248,-29.82535943663635,svr
1,16.813209056854248,6.60932731628418,0.9999971712985578,-22.91174542270845,-970.9488885360446,0.999997054659649,-31.16005276850546,svr
2,16.119056463241577,7.761685848236084,0.9999970186218,-23.33749582849191,-1034.1804460713797,0.9999969959717702,-32.1586760621668,svr
3,17.5583233833313,6.660934209823608,0.9999978693467778,-20.565171922614734,-716.987458775374,0.9999978239566593,-26.77662149665962,svr
4,17.721314430236816,7.0511956214904785,0.7463060279530752,-3296.3495868469686,-101275750.49766976,0.7214681494239312,-10063.585369920094,svr
