,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.13674640655517578,0.9929327964782715,0.9998132509322444,-4.236462545673513,-140.12844768381584,0.9997974220081104,-11.837586227091055,knn
1,0.13695836067199707,0.9356458187103271,0.9997336345517313,-4.766069911527552,-195.74448286574426,0.9997176459942246,-13.990871411950875,knn
2,0.14095807075500488,1.1736783981323242,0.9995186734127864,-5.623496340023148,-347.37278639859153,0.9994978195986441,-18.63793943542557,knn
3,0.15364480018615723,1.4533607959747314,0.9985013757170075,-12.58416258853549,-1137.6961940212284,0.9983550145254612,-33.72975235635786,knn
4,0.019884109497070312,0.31198763847351074,0.9144238891639819,-50.40535766047532,-60829.945389579196,0.9123012149157664,-246.63727493949327,knn
0,0.015859603881835938,0.0020751953125,0.7972016594701384,-255.87582257247593,-142960.77755993154,0.7933274241186807,-378.1015439798303,rr
1,0.009865522384643555,0.0020227432250976562,0.8046557364331368,-250.75599246073082,-137542.79527120368,0.8015997251018439,-370.86762499738865,rr
2,0.009792804718017578,0.0020036697387695312,0.7808443608055619,-260.6491264501574,-151693.39009735305,0.7807040433077936,-389.47835639140857,rr
3,0.009913921356201172,0.0020132064819335938,0.7643858250766852,-289.7414887924505,-164784.7640327742,0.7617390787771596,-405.936896614208,rr
4,0.010890483856201172,0.002773761749267578,0.6894370405544505,-328.78880915086677,-217362.9099305686,0.6866269893684609,-466.2219535055901,rr
0,15.118634462356567,6.885792970657349,0.8630219321744106,-114.0134048900263,-100214.10298421295,0.8551245512448301,-316.56611155367364,svr
1,14.201651334762573,6.792494297027588,0.8707013041467915,-110.47321276464004,-94504.25992766148,0.8636811829240152,-307.4154516735642,svr
2,14.318858623504639,6.790042400360107,0.8523009338233667,-116.31005130841575,-108659.58048919655,0.8429159857139487,-329.6355267400596,svr
3,14.61497449874878,6.676648855209351,0.8488071733925174,-125.24480791351226,-114707.83959167813,0.8341448877691189,-338.68545819340716,svr
4,14.86626148223877,6.782129287719727,0.7400803247882064,-188.46996392166253,-207735.60249662425,0.7005067185081482,-455.78021292792454,svr
