,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.13244223594665527,1.4390931129455566,0.9999994584173286,-0.7955404371919224,-183.2446149028179,0.9999994574246618,-13.536787466116836,knn
1,0.13356471061706543,1.4730989933013916,0.9999952820781909,-9.397816281239376,-1556.4128994395776,0.9999952786745321,-39.45139920762732,knn
2,0.13265371322631836,1.4479217529296875,0.9999943480287169,-4.821220927242974,-1950.81613902808,0.9999943333808184,-44.168044319712415,knn
3,0.13101530075073242,1.580655574798584,0.9999931648841317,-11.758248056404511,-2254.4285086650248,0.9999931578522281,-47.480822535683025,knn
4,0.1175069808959961,0.9673054218292236,0.6755851954661443,-3661.8030863788954,-131203380.36382878,0.6391602120448969,-11454.404408952427,knn
0,0.01568746566772461,0.0037343502044677734,0.9999456708523066,-110.80247329532766,-18504.067432526517,0.9999452106647125,-136.02965644493307,rr
1,0.017592906951904297,0.004256248474121094,0.9999466081232445,-107.77750282485441,-18037.86767741922,0.9999452827433633,-134.3051290063757,rr
2,0.01666545867919922,0.008538007736206055,0.9999438650549072,-110.88825375633279,-19486.66535059116,0.9999433962486519,-139.5946465685241,rr
3,0.015227556228637695,0.002989530563354492,0.9999524470271484,-97.38478343781553,-16078.892117310364,0.9999512008673365,-126.80257141442505,rr
4,0.013870716094970703,0.0027637481689453125,0.6830965668227271,-3630.1898565584156,-127879146.65549514,0.64830262730205,-11308.366223973078,rr
0,16.82438039779663,6.802964210510254,0.9999970805142168,-23.864083489351987,-1077.1806644113656,0.9999968105383963,-32.82043059454531,svr
1,16.68069815635681,7.198552131652832,0.9999963834024511,-24.73766790745917,-1240.4329388224328,0.99999623718897,-35.21978050502917,svr
2,15.872492790222168,7.111900091171265,0.9999968901099863,-23.612936236180175,-1080.4562632513578,0.9999968615524223,-32.87029454159725,svr
3,16.86392593383789,7.065539836883545,0.9999967149147474,-28.377727474424503,-1388.7217073914726,0.9999957852559531,-37.265556582338505,svr
4,16.500033140182495,6.815522193908691,0.7533185392616871,-3329.773766197498,-97782253.72890235,0.7310760774343851,-9888.490973293263,svr
