,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.13356375694274902,1.425363540649414,0.9767252858712373,-45.52833508459117,-16432.861485883892,0.9762436811665718,-128.19072308823246,knn
1,0.1447434425354004,1.3665201663970947,0.9772597436638617,-46.97192541698282,-16160.061678289736,0.9766897228384663,-127.12223125122425,knn
2,0.13201594352722168,1.2821288108825684,0.9604446988759038,-67.13632670699747,-28782.723597120854,0.9583901783499787,-169.65471875878035,knn
3,0.1318225860595703,1.4181592464447021,0.9374797416597269,-87.14432508112046,-45648.18690469349,0.9339976658163525,-213.65436317729035,knn
4,0.14049792289733887,0.8997349739074707,0.8289297972620329,-140.89718515554702,-120969.38944850532,0.8255979284697365,-347.8065402612569,knn
0,0.01273798942565918,0.002132892608642578,0.8080223285627837,-274.24908908259687,-146201.96883446717,0.7886417658488695,-382.3636604522809,rr
1,0.010170936584472656,0.002045154571533203,0.8153770147551602,-266.52600124996167,-138970.04744151712,0.7995409678810033,-372.7868659723906,rr
2,0.011050701141357422,0.0020303726196289062,0.7747795614113118,-280.49257814795084,-156105.98340919754,0.7743249659386772,-395.10249734619185,rr
3,0.010947227478027344,0.002055644989013672,0.7500994602789866,-355.67065863278003,-190593.333057555,0.7244226832512691,-436.5699635311103,rr
4,0.012103557586669922,0.002666473388671875,0.6680075170386806,-312.50749591510623,-230607.39019321694,0.6675323671282549,-480.2159828589808,rr
0,13.247159719467163,6.76860785484314,0.8590362859856261,-145.0841864047602,-114961.38057312119,0.8338050124275569,-339.05955313649724,svr
1,13.196828126907349,7.00016713142395,0.8630594498643995,-131.40857605879805,-108321.41542526857,0.8437504592272157,-329.1221892022301,svr
2,12.843925476074219,6.916011571884155,0.8313108653745991,-148.7375005535579,-121948.69778960544,0.8237045376072261,-349.211537308843,svr
3,12.969499588012695,6.825365304946899,0.8165295089653655,-179.90777198376708,-127742.13355868604,0.8152987104159083,-357.4103154060974,svr
4,12.668599843978882,6.819992303848267,0.7072171097112592,-211.23786052895727,-222068.83273317805,0.6798424409055958,-471.24179858452504,svr
