,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse,algorithm
0,0.13137364387512207,1.3784098625183105,0.9248303643133581,-83.64212521684759,-53399.73733372454,0.922802173753426,-231.08383183105767,knn
1,0.13155746459960938,1.3724615573883057,0.892930968105009,-101.35416954286613,-76059.71408042534,0.8902867420101729,-275.78925664431773,knn
2,0.1307201385498047,1.3015108108520508,0.8435064793743301,-134.2750414672802,-115083.02135723819,0.833629921176074,-339.23888538497204,knn
3,0.13251662254333496,1.412229061126709,0.7626194230567401,-178.1593499892245,-173099.93576180364,0.7497162410596468,-416.05280405473013,knn
4,0.11363959312438965,0.862076997756958,0.7437258541033658,-195.80299913594334,-184799.20979689233,0.7335742111895729,-429.88278611371766,knn
0,0.016560792922973633,0.002719402313232422,0.8080223285627837,-274.24908908259687,-146201.96883446717,0.7886417658488695,-382.3636604522809,rr
1,0.013517379760742188,0.0026159286499023438,0.8153770147551602,-266.52600124996167,-138970.04744151712,0.7995409678810033,-372.7868659723906,rr
2,0.013610601425170898,0.002610445022583008,0.7747795614113118,-280.49257814795084,-156105.98340919754,0.7743249659386772,-395.10249734619185,rr
3,0.013579845428466797,0.002640962600708008,0.7500994602789866,-355.67065863278003,-190593.333057555,0.7244226832512691,-436.5699635311103,rr
4,0.01375269889831543,0.002635478973388672,0.6680075170386806,-312.50749591510623,-230607.39019321694,0.6675323671282549,-480.2159828589808,rr
0,13.378750085830688,6.897002220153809,0.8590362859856261,-145.0841864047602,-114961.38057312119,0.8338050124275569,-339.05955313649724,svr
1,13.00112509727478,7.285581111907959,0.8630594498643995,-131.40857605879805,-108321.41542526857,0.8437504592272157,-329.1221892022301,svr
2,13.48639988899231,6.991199731826782,0.8313108653745991,-148.7375005535579,-121948.69778960544,0.8237045376072261,-349.211537308843,svr
3,14.191561698913574,7.544756174087524,0.8165295089653655,-179.90777198376708,-127742.13355868604,0.8152987104159083,-357.4103154060974,svr
4,13.778264284133911,7.484771490097046,0.7072171097112592,-211.23786052895727,-222068.83273317805,0.6798424409055958,-471.24179858452504,svr
