,fit_time,score_time,test_explained_variance,test_neg_mean_absolute_error,test_neg_mean_squared_error,test_r2,test_neg_rmse
0,0.08532285690307617,0.916945219039917,0.9026212848202527,-0.26267893660531694,-0.161856826514684,0.9007164309942558,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
1,0.08481764793395996,0.8477356433868408,0.9374232158400857,-0.18803680981595094,-0.10533312762430269,0.9365637406487417,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
2,0.08403849601745605,0.8567180633544922,0.9022881263884006,-0.25906874311782285,-0.16016402270059657,0.8992185594313881,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
3,0.11918997764587402,1.2096500396728516,0.7250928022322598,-0.5026152273084789,-0.45436057767936017,0.719932879583249,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
4,0.09261727333068848,0.5948934555053711,0.8528553772938685,-0.46427767066692893,-0.4468384771833715,0.8230897205269614,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc99d8>
0,0.007754802703857422,0.0018620491027832031,0.809577352974208,-0.4300847555981173,-0.3255104525662517,0.8003306985848969,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc9950>
1,0.01110076904296875,0.002324342727661133,0.8334772235912986,-0.49150900974681266,-0.3669273982109816,0.7790201229093302,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc9950>
2,0.011629343032836914,0.0020372867584228516,0.7554364605415902,-0.5203415369696552,-0.3889600414989612,0.7552511940888809,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc9950>
3,0.012473344802856445,0.0022194385528564453,0.6082759419926058,-0.7669163247481592,-0.7306895131285772,0.5496041736150508,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc9950>
4,0.015125751495361328,0.002430438995361328,0.7234747854326593,-0.6760758655620721,-0.7284591020311201,0.7115917498033226,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5ecc9950>
0,56.63111710548401,2.2201106548309326,0.9646273109732181,-0.15559982857995527,-0.057919216554431,0.9644721408582739,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984510>
1,58.10374569892883,2.331998825073242,0.970032076818261,-0.14820510471613585,-0.05085810104048065,0.9693710064394588,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984510>
2,40.61792969703674,1.8939647674560547,0.9325643146626055,-0.26358747389981785,-0.1130127531302684,0.9288879745210662,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984510>
3,62.584882974624634,1.8669638633728027,0.8979699495872805,-0.31262759142574675,-0.166569604492376,0.8973267669536726,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984510>
4,57.842626333236694,1.8892769813537598,-0.6491206795965578,-1.1737225911223501,-5.409508624772503,-1.141708316286262,<function errors_and_scores.<locals>.<lambda> at 0x7f4a5e984510>
